molecule_chembl_id,canonical_smiles,standard_value,actual,predicted
CHEMBL5395478,Cc1ccc(NC(=O)c2ccc(NC(=O)CN3C(=O)S/C(=C/c4ccccc4)C3=O)cc2)cc1,250,active,active
CHEMBL5396585,O=C(CSc1nc2ccccc2c(=O)n1-c1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,455,active,active
CHEMBL5396774,CC(=O)c1ccc(NC(=O)CSC2=NC(=O)C(C#N)C(c3ccccc3)N2)cc1,386.4,active,inactive
CHEMBL5396911,COc1cc2c(Oc3ccc(NC(=O)Nc4ccccc4F)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.7,active,active
CHEMBL5398753,O=C(CSc1nc2ccccc2c(=O)n1CCc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,66,active,active
CHEMBL5399134,Cc1nc2c(cnn2-c2ccccc2)c(=O)n1-c1ccc(NC(=O)c2ccc(Cl)cc2)cc1,200,active,active
CHEMBL5399297,NC(=O)CCn1cc(-c2ccc3ncnc(Nc4cc(O)ccc4F)c3c2)nn1,12,active,active
CHEMBL5399404,O=c1c2cc(Cl)cc(Cl)c2[nH]c(=S)n1-c1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,536,active,inactive
CHEMBL5399711,COc1cc(-c2cc(-c3ccc4ccccc4c3)nc(NN)c2C#N)ccc1O,0.19,active,active
CHEMBL5400653,COc1cc(C2NC(SCC(=O)Nc3ccc(C(C)=O)cc3)=NC(=O)C2C#N)cc(OC)c1OC,198.7,active,inactive
CHEMBL5400860,COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(-c5ccccc5)cc4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.36,active,active
CHEMBL5401089,COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,4.74,active,active
CHEMBL5401507,COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cc(F)ccc4C(F)(F)F)cc3)ccc2[nH]1,3500,active,inactive
CHEMBL5401823,COc1cc2c(Oc3ccc(NC(=O)Nc4cnn(C(C)C)c4)c(F)c3)ncnc2cc1OCc1ccccc1,3.27,active,active
CHEMBL5402284,N#Cc1c(-c2ccc([N+](=O)[O-])cc2)cc(-c2ccc3ccccc3c2)nc1NN,0.34,active,active
CHEMBL5402554,Cc1cc(Nc2ncc(C)c(N3CCN(CC#N)CC3)n2)sn1,41,active,inactive
CHEMBL5402749,O=C(CSc1nc2ccccc2c(=O)n1-c1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1)Nc1ccccc1,438,active,active
CHEMBL5403470,COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(C)c(F)c4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.19,active,active
CHEMBL5403532,NC(=O)c1cccc2[nH]c(-c3ccc(Nc4nccc(N5CCN(C(=O)c6ccccc6)CC5)n4)cc3)nc12,10000,active,active
CHEMBL5403714,Cc1ccc(C)c(NC(=O)CSc2nc3ccccc3c(=O)n2-c2ccc(S(N)(=O)=O)cc2)c1,480,active,active
CHEMBL5403747,COc1cc2c(Oc3ccc(NC(=O)Nc4ccc5occc5c4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.34,active,active
CHEMBL5403883,N=c1cc(N)nc2sc(NC(=O)c3cccs3)nn12,8200,active,inactive
CHEMBL5404472,CCn1c(SCC(=O)NNC(=O)c2ccccc2)nc2ccc([N+](=O)[O-])cc2c1=O,4600,active,active
CHEMBL5404512,O=C(CSc1nc2ccccc2c(=O)n1-c1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1)NCCc1ccccc1,146,active,active
CHEMBL5404662,Cc1nc2ccccc2n(CC(=O)Nc2ccc(C(=O)NNC(=O)c3ccccc3O)cc2)c1=O,1190,active,inactive
CHEMBL5404678,Cc1c2ccc(N(C)c3ccnc(Nc4ccc(-c5nc6c(C(N)=O)cccc6[nH]5)c(Cl)c4)n3)cc2nn1C,217,active,active
CHEMBL5404765,Cc1cc(Nc2ncc(C)c(N3CC4CCCC(C3)N4CCC#N)n2)sn1,109,active,inactive
CHEMBL5405000,COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(Br)cc4F)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.74,active,active
CHEMBL5406253,COc1cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,2.92,active,active
CHEMBL5406841,COc1cc2c(Oc3ccc(NC(=O)Nc4cnn(C)c4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,2.96,active,inactive
CHEMBL5407194,CC(C)(c1cc(NC(=O)Nc2ccc(-c3cc(-c4ccc(OCCN5CCOCC5)cc4)[nH]n3)cc2)no1)C(F)(F)F,379.5,active,active
CHEMBL5407236,O=C(CN1C(=O)S/C(=C/c2ccco2)C1=O)Nc1ccc(C(=O)O)cc1,80,active,inactive
CHEMBL5407330,COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(OC(F)(F)F)cc4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.51,active,active
CHEMBL5407371,COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1Nc1nccc(N(C)c2ccc3c(C)n(C)nc3c2)n1,266,active,active
CHEMBL5407834,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cc(-c4ccc(OCCN5CCOCC5)cc4)[nH]n3)cc2)no1,331.1,active,active
CHEMBL5408069,COc1cc2c(Oc3ccc(NC(=O)NCc4ccccc4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,1.15,active,active
CHEMBL5408391,O=C(N/N=C/c1ccc(Cl)cc1)c1ccc(Nc2ncnc3sc4c(c23)CCCC4)cc1,230,active,inactive
CHEMBL5408930,COc1ccc(-n2nc(NC(=O)Nc3cccc(S(N)(=O)=O)c3)nc2-c2ccccc2)cc1,183,active,active
CHEMBL5409075,COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(C(F)(F)F)cc4)c(F)c3)ncnc2cc1OCCCN1CCCC1,2.44,active,active
CHEMBL5410264,COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(C)cc4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.26,active,active
CHEMBL5411021,COc1cc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)ccc1-c1nc2cc(F)c(F)cc2[nH]1,165,active,active
CHEMBL5411025,COc1ccc(NC(=O)Nc2ccc(Oc3ncnc4cc(OCCCN5CCCC5)c(OC)cc34)cc2Cl)c(OC)c1,0.59,active,active
CHEMBL5411585,COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(C(F)(F)F)cc4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.11,active,active
CHEMBL5412761,COc1cc2c(Oc3ccc(NC(=O)Nc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.55,active,active
CHEMBL5413064,Cc1c2ccc(N(C)c3ccnc(Nc4ccc(-c5nc6c(C(N)=O)cccc6[nH]5)cc4F)n3)cc2nn1C,254,active,active
CHEMBL5414550,COc1cc2c(Oc3ccc(NC(=O)NC4CCC4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,2.74,active,active
CHEMBL5415507,COc1ccc(NC(=O)c2ccc(NC(=O)CSc3nnc4c5nncn5c5ccccc5n34)cc2)cc1,3200,active,active
CHEMBL5415928,Cc1c2ccc(N(C)c3ccnc(Nc4cccc(-c5nc6c(C(N)=O)cccc6[nH]5)c4)n3)cc2nn1C,187,active,active
CHEMBL5416514,COc1cc(N(C)c2ccc3c(C)n(C)nc3c2)nc(Nc2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)n1,10000,active,active
CHEMBL5416544,Cc1ccc(NC(=O)Nc2nc(-c3ccccc3)n(-c3ccc(Cl)cc3)n2)cc1S(N)(=O)=O,541,active,inactive
CHEMBL5417435,Cc1cc(Nc2ncc(C)c(N3CC(CC#N)C3)n2)sn1,267,active,active
CHEMBL5417518,Cc1nc2c(cnn2-c2ccccc2)c(=O)n1-c1ccc(NC(=O)c2ccc(F)cc2)cc1,63,active,inactive
CHEMBL5417871,Cc1c2ccc(N(C)c3ccnc(Nc4ccc(-c5nc6c(C(N)=O)cccc6[nH]5)cc4)n3)cc2nn1C,209,active,active
CHEMBL5418423,NC(=O)CCn1cc(-c2ccc3ncnc(Nc4cc(O)c(F)cc4F)c3c2)nn1,7,active,active
CHEMBL5418454,CN(c1ccnc(Nc2ccc(-c3nc4ccccc4[nH]3)cc2)n1)c1cc(C(C)(C)C)n(C)n1,945,active,inactive
CHEMBL5418551,COc1ccc(-n2nc(NC(=O)Nc3ccc(C)c(S(N)(=O)=O)c3)nc2-c2ccccc2)cc1,717,active,active
CHEMBL5419378,Cc1nc(N2N=C(c3cc4ccccc4oc3=O)CC2c2ccc(N(C)C)cc2)sc1/N=N/c1ccc(Cl)cc1,34,active,active
CHEMBL5419779,COc1ccc(NC(=O)CN2C(=O)S/C(=C3\Nc4ccccc4C3=O)C2=O)cc1,85.8,active,active
CHEMBL5419881,COc1cc2c(Oc3ccc(NC(=O)Nc4ccc(F)cc4)c(F)c3)ncnc2cc1OCCCN1CCCC1,3.88,active,active
CHEMBL5420171,Cc1c2ccc(N(C)c3ccnc(Nc4ccc(-c5nc6cc(F)c(F)cc6[nH]5)c(C(F)(F)F)c4)n3)cc2nn1C,200,active,inactive
CHEMBL5420282,COc1ccc(-c2nc3cc(F)c(F)cc3[nH]2)cc1Nc1nccc(N(C)c2ccc3c(C)n(C)nc3c2)n1,200,active,active
CHEMBL5421530,O=C(CN1C(=O)S/C(=C/c2ccccc2)C1=O)Nc1ccc(C(=O)NCc2ccccc2)cc1,280,active,active
CHEMBL5421652,CN(c1ccc(Cl)cc1)c1ccnc(Nc2ccc(C(=O)Nc3nc4c(C(N)=O)cccc4[nH]3)cc2)n1,355,active,active
CHEMBL5421769,CCc1ccc(NC(=O)c2ccc(NC(=O)CN3C(=O)S/C(=C/c4ccccc4)C3=O)cc2)cc1,220,active,active
CHEMBL5421783,CN1CCN(Cc2ccc(NC(=O)[C@@H]3CCN(c4ccc5ncc(-c6ccccn6)n5n4)C3)cc2C(F)(F)F)CC1,71.1,active,active
CHEMBL5421786,Cc1c2ccc(N(C)c3ccnc(Nc4ccc(C(=O)Nc5nc6c(C(N)=O)cccc6[nH]5)c(Cl)c4)n3)cc2nn1C,326,active,active
CHEMBL5421802,COc1cc2c(Oc3ccc(NC(=O)Nc4cnn(C5CCCC5)c4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,0.26,active,inactive
CHEMBL5421873,CC(C)c1ccc(N(C)c2ccnc(Nc3ccc(-c4nc5cc(F)c(F)cc5[nH]4)cc3)n2)cc1,501,active,active
CHEMBL5422319,Cc1nc(Nc2ccc(NC(=O)Nc3cccc(F)c3)cc2)c2nc(-c3ccccc3)sc2n1,73160,active,inactive
CHEMBL5422526,NC(=O)CCn1cc(-c2ccc3ncnc(Nc4ccc(F)c(O)c4)c3c2)nn1,64,active,active
CHEMBL5422955,CN(c1ccc(Cl)cc1)c1ccnc(Nc2ccc(-c3nc4cc(F)c(F)cc4[nH]3)cc2)n1,427,active,active
CHEMBL5423027,Cc1cc(Nc2ncc(C)c(-c3cnn(CCC#N)c3)n2)sn1,41,active,active
CHEMBL5423601,Cc1c2cc(cc1C(=O)Nc1cc(CN3CCN(C)CC3)cc(C3CC3)c1)OCCCCCCCNC(=O)c1ccc3ncc(n3n1)C#C2,73.55,active,active
CHEMBL5423804,O=[N+]([O-])c1cccc(-c2nn(-c3ccccc3)cc2C2CC(C3CCCO3)=NN2c2ccccc2)c1,910,active,active
CHEMBL5424131,COc1cc2c(Oc3ccc(NC(=O)Nc4ccccc4)c(F)c3)ncnc2cc1OCCCN1CCCC1,1.95,active,active
CHEMBL5424340,COc1cc2c(Oc3ccc(NC(=O)NC4CCCCC4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,14.1,active,active
CHEMBL5424406,Cc1cnc(Nc2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)nc1N(C)c1ccc2c(C)n(C)nc2c1,10000,active,active
CHEMBL5426655,COC(C)Oc1cc2ncnc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2c2c1OCCO2,8.8,active,active
CHEMBL5427272,Cc1nc2ccccc2n(CC(=O)Nc2ccc(C(=O)NCc3ccccc3)cc2)c1=O,1090,active,active
CHEMBL5427401,CN(c1ccc(N2CCOCC2)cc1)c1ccnc(Nc2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)n1,10000,active,active
CHEMBL5427693,NC(=O)c1cccc2[nH]c(-c3ccc(Nc4nccc(N5CCN(c6ccc(C(F)(F)F)cn6)CC5)n4)cc3)nc12,10000,active,active
CHEMBL5427972,N#Cc1c(-c2ccc(Cl)cc2)cc(-c2ccc3ccccc3c2)nc1NN,0.25,active,active
CHEMBL5428581,CC1=NN(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])C(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1cccc([N+](=O)[O-])c1,820,active,active
CHEMBL5428955,Cc1cnc(Nc2cnn(C)c2)nc1N1CC(CC#N)(N2CCN(C)CC2)C1,6743,active,inactive
CHEMBL5428981,NC(=O)c1cccc2[nH]c(NC(=O)c3ccc(Nc4nccc(N5CCN(C(=O)c6ccccc6)CC5)n4)cc3)nc12,10000,active,active
CHEMBL5429533,Cc1cc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cnc1-c1nc2c(C(N)=O)cccc2[nH]1,235,active,active
CHEMBL5430060,Cc1cc(Nc2ncc(C)c(N3CC(CC#N)(N4CCCC4)C3)n2)sn1,1225,active,active
CHEMBL5430859,COc1cccc(CNC(=O)CSc2nc3ccccc3c(=O)n2-c2ccc(S(N)(=O)=O)cc2)c1OC,240,active,active
CHEMBL5431101,Cc1c2ccc(N(C)c3ccnc(Nc4cc(F)c(C(=O)Nc5nc6c(C(N)=O)cccc6[nH]5)c(F)c4)n3)cc2nn1C,363,active,active
CHEMBL5431329,Cc1c2ccc(N(C)c3ccnc(Nc4ccc(-c5nc6c(C(N)=O)cccc6[nH]5)c(C(F)(F)F)c4)n3)cc2nn1C,267,active,active
CHEMBL5431841,CN(c1ccc2ncccc2c1)c1ccnc(Nc2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)n1,659,active,inactive
CHEMBL5432029,Cc1cc(Nc2ncc(C)c(N3CC(CC#N)(N4CCCCC4)C3)n2)sn1,3701,active,inactive
CHEMBL5432284,Cc1cc(Nc2ncc(C)c(N3CC(CCC#N)C3)n2)sn1,119,active,active
CHEMBL5432289,NS(=O)(=O)c1ccc(NC(=O)Nc2nc(-c3ccccc3)n(-c3ccc(F)cc3)n2)cc1,26.3,active,inactive
CHEMBL5432573,COc1cc2c(Oc3ccc(NC(=O)Nc4cccc(OC(F)(F)F)c4)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,1.85,active,active
CHEMBL5432591,CS(=O)(=O)N1CCN(c2ccnc(Nc3ccc(-c4nc5c(C(N)=O)cccc5[nH]4)cc3)n2)CC1,10000,active,active
CHEMBL5434391,COc1cc2ncnc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)c2c2c1OCCO2,3.5,active,active
CHEMBL5434570,COC(C)Oc1cc2ncnc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)c2c2c1OCCO2,3.6,active,active
CHEMBL5434965,Cc1cc(Nc2ncc(C)c(N3CCC(CC#N)CC3)n2)sn1,43,active,inactive
CHEMBL5436823,CCCCNC(=O)Nc1ccc(Oc2ncnc3cc(OCCCN4CCCC4)c(OC)cc23)cc1Cl,2.65,active,active
CHEMBL5436997,Cc1cc(Nc2ncc(C)c(N3CC(CC#N)(OC4CC5(CC5)C4)C3)n2)sn1,3153,active,inactive
CHEMBL5437110,Cc1c2ccc(N(C)c3ccnc(Nc4cc(F)c(-c5nc6c(C(N)=O)cccc6[nH]5)c(F)c4)n3)cc2nn1C,335,active,active
CHEMBL5437292,Cc1ccc(S(=O)(=O)Nc2ccc(-c3cc(-c4cccc(F)c4)c(C#N)c(N)n3)cc2)cc1,3620,active,inactive
CHEMBL5437375,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1-c1nc2c(C(N)=O)cccc2[nH]1,191,active,inactive
CHEMBL5437680,CN(c1ccc(Cl)cc1)c1ccnc(Nc2ccc(-c3nc4c(C(N)=O)cccc4[nH]3)cc2)n1,405,active,active
CHEMBL5438321,O=C(CSc1nc2ccc([N+](=O)[O-])cc2c(=O)n1-c1ccccc1)NNC(=O)c1ccccc1,4800,active,active
CHEMBL5438351,COc1cc2c(Oc3ccc(NC(=O)NC(C)(C)C)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,160.8,active,inactive
CHEMBL5438926,COc1ccc(NC(=O)CN2C(=O)S/C(=C/c3cccs3)C2=O)cc1,95,active,active
CHEMBL5440517,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1NC(=O)CCC(=O)N[C@@H](CCCNC(=N)N)C(=O)O,10000,active,inactive
CHEMBL5505791,C/C(=N\NC(=S)Nc1ccccc1)c1nnn(-c2ccc(F)cc2)c1C,67,active,inactive
CHEMBL5505888,CCNC(=S)NS(=O)(=O)c1ccc(NC(=O)CSc2cc3ccccc3c(=O)n2CC)cc1,3100,active,active
CHEMBL5517643,Cc1c2ccc(Nc3ccnc(Nc4ccc(NC(=O)CCCCCCC(=O)NO)cc4)n3)cc2nn1C,16,active,active
CHEMBL5517680,COc1ccc(-c2cc(-c3ccc(OC)c(OC)c3)c3c(N)c(C(=O)c4ccc(C)cc4)sc3n2)cc1OC,5873,active,active
CHEMBL5517714,CNC(=O)c1nc(Nc2ccc(NC(=O)Nc3cccc(OC)c3)cc2)c2ccccc2n1,40300,active,active
CHEMBL5523510,CNC(=O)c1nc(Nc2ccc(NC(=O)Nc3cccc(C)c3)cc2)c2ccccc2n1,12.1,active,active
CHEMBL5523619,COc1ccc(-c2cc3c(ccn4nc(-c5cccnc5)nc34)o2)cc1,38720,active,inactive
CHEMBL5523623,CCOC(=O)c1sc(N2N=C(c3ccc(Cl)cc3Cl)CC2c2ccc(OC)cc2)nc1C,78.4,active,inactive
CHEMBL5523631,Cc1ccc(/C=N/n2c(-c3cc4ccccc4[nH]3)n[nH]c2=S)cc1,34,active,active
